"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Sandrift Dunes"",""Suyites-Avuotum""],""expires"":""2021-01-17T01:07:46.401Z""}","2021-01-16 11:54:46.408815+00"
"public.portaler.zone","add","{""conns"":[""Brambleshore Hinterlands"",""Curos-Avulsum""],""expires"":""2021-01-17T01:54:28.692Z""}","2021-01-16 11:52:28.705645+00"
"public.portaler.zone","add","{""conns"":[""Curos-Avulsum"",""Suyites-Avuotum""],""expires"":""2021-01-17T03:37:19.435Z""}","2021-01-16 11:52:19.447713+00"
"public.portaler.zone","add","{""conns"":[""Curos-Avulsum"",""Spectral Sump""],""expires"":""2021-01-17T04:02:23.090Z""}","2021-01-16 11:51:23.099946+00"
"public.portaler.zone","add","{""conns"":[""Cieitos-Obaelos"",""Pynites-Ouozlum""],""expires"":""2021-01-17T06:46:11.065Z""}","2021-01-16 11:49:11.071718+00"
"public.portaler.zone","add","{""conns"":[""Filos-Abalam"",""Pynites-Ouozlum""],""expires"":""2021-01-16T16:53:01.928Z""}","2021-01-16 11:49:01.94686+00"
"public.portaler.zone","add","{""conns"":[""Cedarcopse"",""Pynites-Ouozlum""],""expires"":""2021-01-16T15:17:53.200Z""}","2021-01-16 11:48:53.213914+00"
"public.portaler.zone","add","{""conns"":[""Nightcreak Marsh"",""Pynites-Ouozlum""],""expires"":""2021-01-17T01:10:44.590Z""}","2021-01-16 11:48:44.605861+00"
"public.portaler.zone","add","{""conns"":[""Coros-Aiayrom"",""Hightree Steep""],""expires"":""2021-01-17T00:50:27.667Z""}","2021-01-16 11:36:27.750776+00"
"public.portaler.zone","add","{""conns"":[""Coros-Aiayrom"",""Firesink Caldera""],""expires"":""2021-01-16T15:05:10.638Z""}","2021-01-16 11:36:10.651595+00"
"public.portaler.zone","add","{""conns"":[""Coros-Aiayrom"",""Hynes-Exemrom""],""expires"":""2021-01-17T03:59:56.886Z""}","2021-01-16 11:35:56.893577+00"
"public.portaler.zone","add","{""conns"":[""Quatun-Nusas"",""Silos-Apenlum""],""expires"":""2021-01-16T21:56:02.118Z""}","2021-01-16 11:34:02.131588+00"
"public.portaler.zone","add","{""conns"":[""Coros-Aiayrom"",""Silos-Apenlum""],""expires"":""2021-01-16T18:27:44.014Z""}","2021-01-16 11:33:44.023684+00"
"public.portaler.zone","add","{""conns"":[""Cebos-Avemlum"",""Windgrass Portal South""],""expires"":""2021-01-17T07:39:07.769Z""}","2021-01-16 11:15:07.79538+00"
"public.portaler.zone","add","{""conns"":[""Cebos-Avemlum"",""Wispwhisper Marsh""],""expires"":""2021-01-16T15:29:50.139Z""}","2021-01-16 11:14:50.150882+00"
"public.portaler.zone","add","{""conns"":[""Cebos-Avemlum"",""Silos-Apenlum""],""expires"":""2021-01-17T03:52:32.105Z""}","2021-01-16 11:14:32.118408+00"
"public.portaler.zone","add","{""conns"":[""Secent-Et-Vyntum"",""Siros-Obobrom""],""expires"":""2021-01-16T17:48:19.083Z""}","2021-01-16 11:13:19.087921+00"
"public.portaler.zone","add","{""conns"":[""Razorrock Chasm"",""Siros-Obobrom""],""expires"":""2021-01-16T19:17:55.229Z""}","2021-01-16 11:12:55.247192+00"
"public.portaler.zone","add","{""conns"":[""Qiient-Nutis"",""Siros-Obobrom""],""expires"":""2021-01-16T17:58:38.913Z""}","2021-01-16 11:12:38.922947+00"
"public.portaler.zone","add","{""conns"":[""Cebos-Avemlum"",""Rivercopse Crossing""],""expires"":""2021-01-16T20:35:16.962Z""}","2021-01-16 11:11:16.975802+00"
"public.portaler.zone","add","{""conns"":[""Rivercopse Crossing"",""Siros-Obobrom""],""expires"":""2021-01-17T06:29:51.210Z""}","2021-01-16 11:10:51.226709+00"
"public.portaler.zone","add","{""conns"":[""Xuyitos-Aioblos"",""Yew Wood""],""expires"":""2021-01-16T11:15:40.013Z""}","2021-01-16 10:54:40.029477+00"
